AgaKhan,24.892,67.072,20,9,24,4.7,1,1,1,1,1
Ziauddin,24.861,67.009,10,7,9,4.3,1,0,1,0,0
SouthCity,24.846,67.03,18,6,13,4.5,1,1,0,1,0
LiaquatNational,24.88,67.05,12,9,18,4,1,1,1,0,1
JinnahHospital,24.915,67.138,10,15,30,3.8,1,1,1,1,1
CivilHospital,24.86,67.001,8,18,33,3.5,1,1,1,1,1
PatelHospital,24.874,67.06,14,6,13,4.1,1,0,1,0,0
TabbaHeart,24.89,67.04,16,7,12,4.6,0,1,0,0,1
AadilHospital,24.87,67.02,9,6,9,3.9,1,0,0,0,0
DarulSehat,24.905,67.095,11,7,13,4.2,1,1,1,1,0
KorangiHospital,24.83,67.14,7,4,6,3.7,1,0,1,0,0
MalirCare,24.91,67.2,6,5,8,3.6,1,0,1,1,0
NorthNazimabadClinic,24.94,67.04,8,3,5,3.8,0,0,1,0,0
